"plot" "temp" "age"
"1" 1 23.60395384 12
"2" 2 22.69904388 20
"3" 3 24.15288845 17
"4" 4 23.207032 20
"5" 5 22.62960721 18
"6" 6 22.43071712 20
"7" 7 23.06492925 15
"8" 8 22.90162954 13
"9" 9 23.39215747 8
"10" 10 23.97334681 15
"11" 11 23.30790232 9
"12" 12 24.24036177 15
"13" 13 24.29638224 10
"14" 14 23.84519234 19
"15" 15 24.61348583 15
"16" 16 24.71921005 20
"17" 17 24.28335007 10
"18" 18 23.581158 10
"19" 19 22.41190999 17
"20" 20 22.8033376 20
"21" 21 22.6688032 8
"22" 22 22.33200014 17
"23" 23 23.1078512 20
"24" 24 23.11403571 15
"25" 25 23.247424 20
"26" 26 23.49358133 15
"27" 27 23.46681282 10
"28" 28 23.22098057 15
"29" 29 23.429816 9
"30" 30 21.92910133 10
"31" 31 22.226008 10
"32" 32 21.7928896 10
"33" 33 23.300128 20
"34" 34 22.97966314 15
"35" 35 21.9448189 22
"36" 36 23.12665333 10
"37" 37 22.44944779 22
"38" 38 22.71994778 12
"39" 39 22.98908013 10
"40" 40 22.91019031 9
"41" 41 23.39587273 9
"42" 42 23.68842726 8
"43" 43 22.64373563 20
