"subplot" "plot" "Nfert"
"1" 1 1 1
"2" 2 1 0
"3" 3 2 1
"4" 4 2 0
"5" 5 3 1
"6" 6 3 0
"7" 7 4 1
"8" 8 4 0
"9" 9 5 1
"10" 10 5 0
"11" 11 6 1
"12" 12 6 0
"13" 13 7 1
"14" 14 7 0
"15" 15 8 1
"16" 16 8 0
"17" 17 9 1
"18" 18 9 0
"19" 19 10 1
"20" 20 10 0
"21" 21 11 1
"22" 22 11 0
"23" 23 12 1
"24" 24 12 0
"25" 25 13 1
"26" 26 13 0
"27" 27 14 1
"28" 28 14 0
"29" 29 15 1
"30" 30 15 0
"31" 31 16 1
"32" 32 16 0
"33" 33 17 1
"34" 34 17 0
"35" 35 18 1
"36" 36 18 0
"37" 37 19 1
"38" 38 19 0
"39" 39 20 1
"40" 40 20 0
"41" 41 21 1
"42" 42 21 0
"43" 43 22 1
"44" 44 22 0
"45" 45 23 1
"46" 46 23 0
"47" 47 24 1
"48" 48 24 0
"49" 49 25 1
"50" 50 25 0
"51" 51 26 1
"52" 52 26 0
"53" 53 27 1
"54" 54 27 0
"55" 55 28 1
"56" 56 28 0
"57" 57 29 1
"58" 58 29 0
"59" 59 30 1
"60" 60 30 0
"61" 61 31 1
"62" 62 31 0
"63" 63 32 1
"64" 64 32 0
"65" 65 33 1
"66" 66 33 0
"67" 67 34 1
"68" 68 34 0
"69" 69 35 1
"70" 70 35 0
"71" 71 36 1
"72" 72 36 0
"73" 73 37 1
"74" 74 37 0
"75" 75 38 1
"76" 76 38 0
"77" 77 39 1
"78" 78 39 0
"79" 79 40 1
"80" 80 40 0
"81" 81 41 1
"82" 82 41 0
"83" 83 42 1
"84" 84 42 0
"85" 85 43 1
"86" 86 43 0
