"tree" "subplot" "plot" "Pc" "Hs" "Cc" "npodh"
"1" 1 1 1 0 2 22 43
"2" 2 2 1 0 4 9 18
"3" 3 1 1 0 16 7 34
"4" 4 2 1 0 9 4 13
"5" 5 1 1 0 3 2 10
"6" 6 2 1 0 2 2 9
"7" 7 1 1 0 0 8 12
"8" 8 2 1 0 4 8 17
"9" 9 1 1 0 1 30 48
"10" 10 2 1 0 4 3 10
"11" 11 3 2 1 1 0 2
"12" 12 4 2 1 6 4 24
"13" 13 3 2 1 0 0 2
"14" 14 4 2 1 3 11 30
"15" 15 3 2 1 0 0 2
"16" 16 4 2 1 2 0 6
"17" 17 3 2 1 0 0 2
"18" 18 4 2 1 0 0 0
"19" 19 3 2 1 0 0 1
"20" 20 4 2 1 0 0 0
"21" 21 5 3 1 0 2 3
"22" 22 6 3 1 0 0 0
"23" 23 5 3 1 0 0 0
"24" 24 6 3 1 2 2 7
"25" 25 5 3 1 0 0 2
"26" 26 6 3 1 0 4 7
"27" 27 5 3 1 5 4 10
"28" 28 6 3 1 0 7 10
"29" 29 5 3 1 0 9 13
"30" 30 6 3 1 0 1 2
"31" 31 7 4 1 0 3 12
"32" 32 8 4 1 0 5 6
"33" 33 7 4 1 0 0 1
"34" 34 8 4 1 0 0 1
"35" 35 7 4 0 0 0 0
"36" 36 8 4 0 1 1 6
"37" 37 7 4 0 0 1 2
"38" 38 8 4 1 0 2 4
"39" 39 7 4 1 0 0 1
"40" 40 8 4 1 1 0 5
"41" 41 9 5 1 0 0 0
"42" 42 10 5 1 3 2 7
"43" 43 9 5 1 5 15 22
"44" 44 10 5 1 2 2 4
"45" 45 9 5 1 1 2 5
"46" 46 10 5 1 0 0 4
"47" 47 9 5 1 0 0 2
"48" 48 10 5 1 0 0 2
"49" 49 9 5 1 0 1 2
"50" 50 10 5 1 2 8 10
"51" 51 11 6 1 5 7 22
"52" 52 12 6 1 6 13 26
"53" 53 11 6 1 1 2 3
"54" 54 12 6 1 9 21 35
"55" 55 11 6 1 1 0 1
"56" 56 12 6 1 3 6 13
"57" 57 11 6 1 1 8 10
"58" 58 12 6 1 5 10 23
"59" 59 11 6 1 0 0 0
"60" 60 12 6 1 9 7 23
"61" 61 13 7 1 0 4 8
"62" 62 14 7 1 7 18 56
"63" 63 13 7 1 1 7 11
"64" 64 14 7 1 1 1 3
"65" 65 13 7 1 0 6 8
"66" 66 14 7 1 2 20 38
"67" 67 13 7 1 13 11 35
"68" 68 14 7 1 9 26 78
"69" 69 13 7 1 9 30 77
"70" 70 14 7 1 0 3 5
"71" 71 15 8 1 2 1 9
"72" 72 16 8 1 1 3 6
"73" 73 15 8 1 1 2 4
"74" 74 16 8 1 1 0 2
"75" 75 15 8 1 1 6 10
"76" 76 16 8 1 0 2 5
"77" 77 15 8 1 1 4 7
"78" 78 16 8 1 0 0 0
"79" 79 15 8 1 6 27 43
"80" 80 16 8 1 1 4 9
"81" 81 17 9 1 1 15 33
"82" 82 18 9 1 1 3 7
"83" 83 17 9 1 2 7 14
"84" 84 18 9 1 4 21 26
"85" 85 17 9 1 0 0 0
"86" 86 18 9 1 3 14 20
"87" 87 17 9 1 0 1 1
"88" 88 18 9 1 1 1 4
"89" 89 17 9 1 0 1 2
"90" 90 18 9 1 0 3 7
"91" 91 19 10 1 2 17 38
"92" 92 20 10 1 5 18 31
"93" 93 19 10 1 4 16 34
"94" 94 20 10 1 5 16 30
"95" 95 19 10 1 0 3 11
"96" 96 20 10 1 5 2 12
"97" 97 19 10 1 0 8 12
"98" 98 20 10 1 11 3 21
"99" 99 19 10 1 0 4 10
"100" 100 20 10 1 2 10 26
"101" 101 21 11 1 3 1 6
"102" 102 22 11 0 10 2 14
"103" 103 21 11 1 1 1 2
"104" 104 22 11 0 31 0 31
"105" 105 21 11 1 4 1 6
"106" 106 22 11 1 4 2 7
"107" 107 21 11 0 4 1 7
"108" 108 22 11 1 2 2 4
"109" 109 21 11 0 6 3 11
"110" 110 22 11 1 9 0 9
"111" 111 23 12 0 41 3 49
"112" 112 24 12 1 9 4 13
"113" 113 23 12 0 13 6 31
"114" 114 24 12 0 4 8 21
"115" 115 23 12 0 11 10 37
"116" 116 24 12 0 15 3 24
"117" 117 23 12 0 9 1 11
"118" 118 24 12 0 2 10 33
"119" 119 23 12 0 59 0 66
"120" 120 24 12 0 35 5 45
"121" 121 25 13 1 4 0 4
"122" 122 26 13 1 3 12 21
"123" 123 25 13 1 16 0 17
"124" 124 26 13 0 3 2 6
"125" 125 25 13 0 0 0 1
"126" 126 26 13 1 24 4 30
"127" 127 25 13 1 4 0 4
"128" 128 26 13 1 7 2 15
"129" 129 25 13 1 9 5 15
"130" 130 26 13 1 9 1 12
"131" 131 27 14 1 0 0 0
"132" 132 28 14 1 5 2 9
"133" 133 27 14 1 0 0 1
"134" 134 28 14 1 7 19 27
"135" 135 27 14 1 0 8 12
"136" 136 28 14 1 3 6 16
"137" 137 27 14 1 0 0 1
"138" 138 28 14 1 6 17 30
"139" 139 27 14 1 0 0 1
"140" 140 28 14 1 1 8 9
"141" 141 29 15 1 0 1 3
"142" 142 30 15 1 1 7 27
"143" 143 29 15 0 3 5 11
"144" 144 30 15 1 6 11 25
"145" 145 29 15 1 7 9 20
"146" 146 30 15 1 11 10 26
"147" 147 29 15 0 4 2 8
"148" 148 30 15 0 1 6 10
"149" 149 29 15 0 8 9 25
"150" 150 30 15 1 5 4 15
"151" 151 31 16 1 3 14 26
"152" 152 32 16 1 7 9 28
"153" 153 31 16 1 3 4 14
"154" 154 32 16 1 2 1 12
"155" 155 31 16 0 9 7 30
"156" 156 32 16 1 5 15 39
"157" 157 31 16 1 0 5 11
"158" 158 32 16 1 2 3 15
"159" 159 31 16 0 4 13 21
"160" 160 32 16 1 10 29 58
"161" 161 33 17 1 0 10 13
"162" 162 34 17 1 1 5 9
"163" 163 33 17 1 4 14 28
"164" 164 34 17 1 1 4 9
"165" 165 33 17 0 17 3 23
"166" 166 34 17 1 5 12 19
"167" 167 33 17 0 9 37 81
"168" 168 34 17 0 15 8 36
"169" 169 33 17 1 8 29 48
"170" 170 34 17 0 9 15 32
"171" 171 35 18 1 0 3 7
"172" 172 36 18 1 1 3 4
"173" 173 35 18 1 8 5 26
"174" 174 36 18 1 1 1 5
"175" 175 35 18 1 1 3 5
"176" 176 36 18 1 2 5 17
"177" 177 35 18 1 4 8 16
"178" 178 36 18 1 2 12 19
"179" 179 35 18 1 1 7 10
"180" 180 36 18 1 0 3 4
"181" 181 37 19 0 3 8 18
"182" 182 38 19 1 8 31 52
"183" 183 37 19 0 44 12 61
"184" 184 38 19 0 11 7 22
"185" 185 37 19 0 4 1 5
"186" 186 38 19 1 0 0 2
"187" 187 37 19 0 2 1 4
"188" 188 38 19 0 1 1 2
"189" 189 37 19 0 5 0 6
"190" 190 38 19 0 2 2 6
"191" 191 39 20 0 5 0 5
"192" 192 40 20 0 3 0 4
"193" 193 39 20 0 11 0 20
"194" 194 40 20 0 6 1 8
"195" 195 39 20 1 8 0 8
"196" 196 40 20 0 8 0 10
"197" 197 39 20 0 1 0 1
"198" 198 40 20 0 1 1 4
"199" 199 39 20 0 1 0 1
"200" 200 40 20 0 5 0 6
"201" 201 41 21 1 1 3 14
"202" 202 42 21 1 2 0 4
"203" 203 41 21 1 3 4 8
"204" 204 42 21 1 5 0 5
"205" 205 41 21 1 7 0 11
"206" 206 42 21 1 1 2 4
"207" 207 41 21 1 4 1 6
"208" 208 42 21 1 14 4 20
"209" 209 41 21 1 17 2 20
"210" 210 42 21 1 0 1 3
"211" 211 43 22 0 10 3 17
"212" 212 44 22 0 1 3 17
"213" 213 43 22 0 3 0 4
"214" 214 44 22 0 12 1 13
"215" 215 43 22 0 15 1 21
